Puerto,Estado,Litoral,Especialidad/Rol,Notas logísticas
Manzanillo,Colima,Pacífico,Contenedores (principal gateway del Pacífico),Conexiones Transpacífico; nodo ferroviario al Bajío.
Lázaro Cárdenas,Michoacán,Pacífico,"Contenedores, autos, granel; gran calado",Enlace ferroviario directo a Bajío/Centro; alternativa a LA/LB.
Ensenada,Baja California,Pacífico,Contenedores y carga general,Puerta del Noroeste; feeder a LA/LB y Asia.
Guaymas,Sonora,Pacífico,Granel minero y agrícola,Salida minera del Noroeste; modernización en curso.
Topolobampo,Sinaloa,Pacífico,"Granel, ferries",Conexión a Cd. Obregón/Los Mochis; ferries a La Paz.
Mazatlán,Sinaloa,Pacífico,"Vehículos, carga general",Corredor Mazatlán–Matamoros (MEX-40/40D).
Salina Cruz,Oaxaca,Pacífico,Granel y energéticos; proyecto transístmico,Nodo del CIIT para transbordo Pacífico–Golfo.
Veracruz,Veracruz,Golfo,"Contenedores, vehículos, granel",Principal del Golfo; ampliación Nuevo Veracruz.
Altamira,Tamaulipas,Golfo,Contenedores y petroquímica,Cluster químico; fuerte intermodal ferrocarril-carretera.
Tampico,Tamaulipas,Golfo,"Carga general, granel",Histórico; apoyo a energéticos y acero.
Tuxpan,Veracruz,Golfo,"Hidrocarburos, carga general",Terminales de combustibles cercanas al Valle de México.
Coatzacoalcos,Veracruz,Golfo,"Petroquímica, granel",Nodo del CIIT; enlace ferroviario al Istmo.
Progreso,Yucatán,Golfo/Caribe,"Contenedores, granel, cruceros",Gateway Península; enlace a Mérida y maquila.
Dos Bocas,Tabasco,Golfo,Energéticos (refinación),Apoya logística energética del Sureste.
